alias,categories,coordinates,cuisine,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
café-china-new-york-2,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.7499225208569, 'longitude': -73.9819464127197}",chinese,(212) 213-2810,1180.6956479004084,xq0cX_DgxiJMXwhmEl9kUA,https://s3-media3.fl.yelpcdn.com/bphoto/if8kyqGXg_tnG8u8Mjxokw/o.jpg,False,"{'address1': '13 E 37th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['13 E 37th St', 'New York, NY 10016']}",Café China,+12122132810,$$,4.0,1385,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/caf%C3%A9-china-new-york-2?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
junzi-kitchen-new-york-11,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 40.75479, 'longitude': -73.98579}",chinese,(646) 669-8228,851.6266514336955,GGRMY-twaqZf_NIAprBJkg,https://s3-media2.fl.yelpcdn.com/bphoto/GwkC7IsnFz_sJiA_FJiOXw/o.jpg,False,"{'address1': '135 W 41st St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['135 W 41st St', 'New York, NY 10036']}",Junzi Kitchen,+16466698228,,5.0,2,"['delivery', 'pickup']",https://www.yelp.com/biz/junzi-kitchen-new-york-11?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
dim-sum-palace-new-york-8,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cantonese', 'title': 'Cantonese'}]","{'latitude': 40.76015, 'longitude': -73.9893699}",chinese,(646) 861-1910,913.3425917326555,bVkjBJlAIwKAj9Aw1KVWjA,https://s3-media2.fl.yelpcdn.com/bphoto/IsgY0alj9ZfW7jFagj8dQg/o.jpg,False,"{'address1': '334 W 46th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['334 W 46th St', 'New York, NY 10036']}",Dim Sum Palace,+16468611910,$$,4.0,985,"['delivery', 'pickup']",https://www.yelp.com/biz/dim-sum-palace-new-york-8?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
zest-szechuan-new-york,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 40.75274, 'longitude': -73.98445}",chinese,(646) 870-0521,971.2384767814051,6tASYtO9zOrXr8-LPnAToQ,https://s3-media3.fl.yelpcdn.com/bphoto/Sg9rtxB44IL3qUwC-PThiw/o.jpg,False,"{'address1': '45 W 39th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['45 W 39th St', 'New York, NY 10018']}",Zest Szechuan,+16468700521,$$,4.0,478,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/zest-szechuan-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
china-xiang-中国湘-new-york-2,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",chinese,(212) 967-6088,1199.3368442478525,FXhSEZfIqjMZh4hR0_8jMQ,https://s3-media3.fl.yelpcdn.com/bphoto/MC6-poc5wb7mP-jO7qfHHw/o.jpg,False,"{'address1': '360 W 42nd Street', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['360 W 42nd Street', 'New York, NY 10036']}",China Xiang 中国湘,+12129676088,$$,4.0,382,"['delivery', 'pickup']",https://www.yelp.com/biz/china-xiang-%E4%B8%AD%E5%9B%BD%E6%B9%98-new-york-2?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
han-dynasty-new-york,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.732072, 'longitude': -73.988074}",chinese,(212) 390-8685,3231.601932577536,wfhMIiMh2A2psCGONOVSlg,https://s3-media3.fl.yelpcdn.com/bphoto/kcZfLvTSNSHu8_myp5eMbw/o.jpg,False,"{'address1': '90 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['90 3rd Ave', 'New York, NY 10003']}",Han Dynasty,+12123908685,$$,4.0,1121,['restaurant_reservation'],https://www.yelp.com/biz/han-dynasty-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
tri-dim-shanghai-new-york-2,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.77395, 'longitude': -73.95793}",chinese,(212) 585-3388,2311.776214972571,oowNI_aUmGEFa_VW8BFgRg,https://s3-media1.fl.yelpcdn.com/bphoto/-HycyO1XNiKGN8q28RYATg/o.jpg,False,"{'address1': '1378 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1378 3rd Ave', 'New York, NY 10075']}",Tri Dim Shanghai,+12125853388,$$,4.0,279,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/tri-dim-shanghai-new-york-2?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
han-dynasty-new-york-4,"[{'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 40.78752, 'longitude': -73.97647}",chinese,(212) 858-9060,3045.824094143192,ojbH3wnRu050hRhkmoxRiA,https://s3-media3.fl.yelpcdn.com/bphoto/fe5QaNZH6Qc-dbIDPwE2Ww/o.jpg,False,"{'address1': '215 W 85th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['215 W 85th St', 'New York, NY 10024']}",Han Dynasty,+12128589060,$$,4.0,515,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/han-dynasty-new-york-4?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
chow-house-new-york,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 40.72915, 'longitude': -74.00072}",chinese,(212) 837-1021,3928.8169129232433,0dDCDQz7DrKkSvu9h2hcQw,https://s3-media3.fl.yelpcdn.com/bphoto/kzeClsI9_2tkHqKScotx1Q/o.jpg,False,"{'address1': '181 Bleecker St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['181 Bleecker St', 'New York, NY 10012']}",Chow House,+12128371021,$$,4.5,242,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/chow-house-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
pig-heaven-new-york-3,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.77544, 'longitude': -73.95686}",chinese,(212) 744-4333,2489.5030051234776,sfsjk1h50ooC2ioY7m48gw,https://s3-media3.fl.yelpcdn.com/bphoto/YS070r6h0Y3u9PBmJZRPCg/o.jpg,False,"{'address1': '1420 3rd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['1420 3rd Ave', 'New York, NY 10028']}",Pig Heaven,+12127444333,$$,4.0,261,"['pickup', 'restaurant_reservation', 'delivery']",https://www.yelp.com/biz/pig-heaven-new-york-3?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
