alias,categories,coordinates,cuisine,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
trattoria-trecolori-new-york,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.75998, 'longitude': -73.98671}",italian,(212) 997-4540,699.3572680342019,DoSU8IPq-Py_YV3kYmXPfQ,https://s3-media4.fl.yelpcdn.com/bphoto/G8vBgHxbEfoONO0JpLX3Qw/o.jpg,False,"{'address1': '254 West 47th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['254 West 47th St', 'New York, NY 10036']}",Trattoria Trecolori,+12129974540,$$,4.0,2071,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/trattoria-trecolori-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
carmines-italian-restaurant-times-square-new-york-5,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 40.7574955824307, 'longitude': -73.9866844540098}",italian,(212) 221-3800,752.7176947652221,22nKUyCIbpnzR6R3_g1ptQ,https://s3-media1.fl.yelpcdn.com/bphoto/0UszeEYPWI-RIk0Ak6HtVQ/o.jpg,False,"{'address1': '200 W 44th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['200 W 44th St', 'New York, NY 10036']}",Carmine's Italian Restaurant - Times Square,+12122213800,$$,4.0,3345,"['delivery', 'pickup']",https://www.yelp.com/biz/carmines-italian-restaurant-times-square-new-york-5?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
allora-ristorante-new-york-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 40.75433, 'longitude': -73.97277}",italian,(212) 754-9800,808.3362741323418,z7H9ApIGopnDnQaglnPTzg,https://s3-media1.fl.yelpcdn.com/bphoto/PFMCcufxzzNRQ6JOVX5jFQ/o.jpg,False,"{'address1': '145 E 47th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['145 E 47th St', 'New York, NY 10017']}",Allora Ristorante,+12127549800,$$$,4.5,392,['restaurant_reservation'],https://www.yelp.com/biz/allora-ristorante-new-york-2?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
mercato-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 40.75619, 'longitude': -73.9937}",italian,(212) 643-2000,1353.7649154225949,Ve6GVzzJpR5QIIPdcn6ViQ,https://s3-media1.fl.yelpcdn.com/bphoto/t_68MYdZy7RnBurwmwuRzQ/o.jpg,False,"{'address1': '352 W 39th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10018', 'country': 'US', 'state': 'NY', 'display_address': ['352 W 39th St', 'New York, NY 10018']}",Mercato,+12126432000,$$,4.0,795,"['delivery', 'pickup']",https://www.yelp.com/biz/mercato-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
tonys-di-napoli-new-york-4,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.75641, 'longitude': -73.98547}",italian,(212) 221-0100,716.4452640700139,5TX0X8w5ssIACU_pnBEq6g,https://s3-media4.fl.yelpcdn.com/bphoto/Jqf7o6WMxCFzjUBPILVoYA/o.jpg,False,"{'address1': '147 W 43rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['147 W 43rd St', 'New York, NY 10036']}",Tony's Di Napoli,+12122210100,$$,4.0,1909,"['delivery', 'pickup']",https://www.yelp.com/biz/tonys-di-napoli-new-york-4?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
uva-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 40.7722, 'longitude': -73.95566}",italian,(212) 472-4552,2341.9530202338674,OAqsZMbjv66nOMqlimnYuQ,https://s3-media3.fl.yelpcdn.com/bphoto/OKw0xxKFXVRPNTRFx6v2Dg/o.jpg,False,"{'address1': '1486 2nd Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10075', 'country': 'US', 'state': 'NY', 'display_address': ['1486 2nd Ave', 'New York, NY 10075']}",Uva,+12124724552,$$,4.0,2176,[],https://www.yelp.com/biz/uva-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
l-artusi-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 40.733714, 'longitude': -74.005068}",italian,(212) 255-5757,3700.331251049352,rp8S7scxOkVVeG7dNneMGQ,https://s3-media3.fl.yelpcdn.com/bphoto/Yr4VE25s-pjMnLz9nJvNdQ/o.jpg,False,"{'address1': '228 W 10th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['228 W 10th St', 'New York, NY 10014']}",L'Artusi,+12122555757,$$$,4.5,1672,"['delivery', 'pickup']",https://www.yelp.com/biz/l-artusi-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
angeletto-restaurant-new-york,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.753188, 'longitude': -73.969365}",italian,(212) 235-1227,1096.6253954927765,7cjT33LfYSk7vrRdEaSr4w,https://s3-media4.fl.yelpcdn.com/bphoto/6uaxZoW81RMhxJ1-8XBHOA/o.jpg,False,"{'address1': '890 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['890 2nd Ave', 'New York, NY 10017']}",Angeletto Restaurant,+12122351227,$$,4.5,140,['restaurant_reservation'],https://www.yelp.com/biz/angeletto-restaurant-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
grazie-new-york-3,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.77948, 'longitude': -73.9601}",italian,(212) 717-4407,2643.711936527341,_3QRn51W3IoqBzc9fYet4Q,https://s3-media1.fl.yelpcdn.com/bphoto/IIbqHxqxixzwXuykzY9mng/o.jpg,False,"{'address1': '26 E 84th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10028', 'country': 'US', 'state': 'NY', 'display_address': ['26 E 84th St', 'New York, NY 10028']}",Grazie,+12127174407,$$,4.0,380,"['delivery', 'restaurant_reservation', 'pickup']",https://www.yelp.com/biz/grazie-new-york-3?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
briciola-new-york,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]","{'latitude': 40.7637997047278, 'longitude': -73.9880919456482}",italian,(646) 678-5763,900.8151135164967,MOwB9YYd-Ko6nVgSB-ltQw,https://s3-media3.fl.yelpcdn.com/bphoto/mZTbLXEF1iTQz59OX2Vx0g/o.jpg,False,"{'address1': '370 W 51st St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['370 W 51st St', 'New York, NY 10019']}",Briciola,+16466785763,$$,4.0,766,[],https://www.yelp.com/biz/briciola-new-york?adjust_creative=3AfbwyHTrzK_p13s2OO9fw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3AfbwyHTrzK_p13s2OO9fw
